telemetry.time,deviceId,telemetry.co2
2022-09-23T09:12:22.0000000,DA00110042,724
2022-09-23T09:09:54.0000000,DA00110042,712
2022-09-23T09:07:33.0000000,DA00110042,702
2022-09-23T09:08:49.0000000,DA00110042,713
2022-09-23T09:06:28.0000000,DA00110042,686
2022-09-23T09:05:14.0000000,DA00110042,686
2022-09-23T09:03:59.0000000,DA00110042,702
2022-09-23T09:00:21.0000000,DA00110040,634
2022-09-23T09:06:17.0000000,DA00110040,652
2022-09-23T09:13:05.0000000,DA00110041,578
2022-09-23T09:03:53.0000000,DA00110039,689
2022-09-23T09:14:27.0000000,DA00110038,576
2022-09-23T09:13:22.0000000,DA00110038,588
2022-09-23T09:10:53.0000000,DA00110038,573
2022-09-23T09:12:08.0000000,DA00110038,558
2022-09-23T09:07:28.0000000,DA00110038,585
2022-09-23T09:08:33.0000000,DA00110038,579
2022-09-23T09:09:48.0000000,DA00110038,584
2022-09-23T09:05:07.0000000,DA00110038,576
2022-09-23T09:06:14.0000000,DA00110038,572
2022-09-23T09:02:39.0000000,DA00110038,572
2022-09-23T09:03:54.0000000,DA00110038,569
2022-09-23T09:01:33.0000000,DA00110038,558
2022-09-23T09:00:20.0000000,DA00110038,557
2022-09-23T09:02:47.0000000,DA00110036,610
2022-09-23T09:01:40.0000000,DA00110036,621
2022-09-23T09:08:29.0000000,DA00110035,531
2022-09-23T09:07:23.0000000,DA00110035,513
2022-09-23T09:13:24.0000000,DA00110033,537
2022-09-23T09:11:48.0000000,DA00110049,608
2022-09-23T09:13:05.0000000,DA00110049,605
2022-09-23T09:09:24.0000000,DA00110049,588
2022-09-23T09:10:42.0000000,DA00110049,601
2022-09-23T09:07:00.0000000,DA00110049,606
2022-09-23T09:08:18.0000000,DA00110049,594
2022-09-23T09:05:42.0000000,DA00110049,603
2022-09-23T09:12:07.0000000,DA00110033,563
2022-09-23T09:11:02.0000000,DA00110033,554
2022-09-23T09:09:47.0000000,DA00110033,546
2022-09-23T09:06:10.0000000,DA00110033,554
2022-09-23T09:08:41.0000000,DA00110033,552
2022-09-23T09:07:26.0000000,DA00110033,561
2022-09-23T09:05:05.0000000,DA00110033,555
2022-09-23T09:03:50.0000000,DA00110033,545
2022-09-23T09:02:43.0000000,DA00110033,555
2022-09-23T09:01:28.0000000,DA00110033,549
2022-09-23T09:00:12.0000000,DA00110033,559
2022-09-23T09:13:43.0000000,DA00110032,603
2022-09-23T09:11:19.0000000,DA00110032,595
2022-09-23T09:12:38.0000000,DA00110032,616
2022-09-23T09:09:00.0000000,DA00110032,595
2022-09-23T09:10:14.0000000,DA00110032,616
