telemetry.time,deviceId,telemetry.co2
2022-11-24T15:18:53.0000000,DA00130002,698
2022-11-24T15:00:39.0000000,DA00110034,1203
2022-11-24T15:13:29.0000000,AMNO-04,1049
2022-11-24T15:14:41.0000000,AMNO-04,1033
2022-11-24T15:13:34.0000000,AMNO-03,1143
2022-11-24T15:12:24.0000000,AMNO-03,1125
2022-11-24T15:09:50.0000000,AMNO-03,1112
2022-11-24T15:05:51.0000000,AMNO-03,1094
2022-11-24T15:07:15.0000000,AMNO-03,1122
2022-11-24T15:11:05.0000000,AMNO-03,1132
2022-11-24T15:02:28.0000000,AMNO-03,1112
2022-11-24T15:13:12.0000000,AMNO-02,1036
2022-11-24T15:01:03.0000000,AMNO-03,1096
2022-11-24T15:14:28.0000000,AMNO-02,1036
2022-11-24T15:10:48.0000000,AMNO-02,1038
2022-11-24T15:12:01.0000000,AMNO-02,1058
2022-11-24T15:13:45.0000000,AMNO-01,1060
2022-11-24T15:12:33.0000000,AMNO-01,1055
2022-11-24T15:07:12.0000000,AMNO-02,1060
2022-11-24T15:09:37.0000000,AMNO-02,1028
2022-11-24T15:08:25.0000000,AMNO-02,1044
2022-11-24T15:06:01.0000000,AMNO-02,1071
2022-11-24T15:03:37.0000000,AMNO-02,1053
2022-11-24T15:04:49.0000000,AMNO-02,1072
2022-11-24T15:02:25.0000000,AMNO-02,1081
2022-11-24T15:01:12.0000000,AMNO-02,1081
2022-11-24T15:07:46.0000000,AMNO-01,1060
2022-11-24T15:10:10.0000000,AMNO-01,1049
2022-11-24T15:11:21.0000000,AMNO-01,1069
2022-11-24T15:08:58.0000000,AMNO-01,1059
2022-11-24T15:06:34.0000000,AMNO-01,1044
2022-11-24T15:04:10.0000000,AMNO-01,1056
2022-11-24T15:05:22.0000000,AMNO-01,1061
2022-11-24T15:02:59.0000000,AMNO-01,1061
2022-11-24T15:00:35.0000000,AMNO-01,1072
2022-11-24T15:01:47.0000000,AMNO-01,1044
2022-11-24T15:12:05.0000000,AMNO-04,1045
2022-11-24T15:10:49.0000000,AMNO-04,1038
2022-11-24T15:09:37.0000000,AMNO-04,1062
2022-11-24T15:08:24.0000000,AMNO-04,1071
2022-11-24T15:07:11.0000000,AMNO-04,1098
2022-11-24T15:09:04.0000000,DA00100001,1108
2022-11-24T15:05:59.0000000,AMNO-04,1102
2022-11-24T15:04:46.0000000,AMNO-04,1067
2022-11-24T15:14:20.0000000,DA00110044,806
2022-11-24T15:03:32.0000000,AMNO-04,1048
2022-11-24T15:09:47.0000000,DA00110040,1140
2022-11-24T15:02:17.0000000,AMNO-04,1035
2022-11-24T15:01:02.0000000,AMNO-04,1023
2022-11-24T15:14:15.0000000,DA00110045,784
2022-11-24T15:14:06.0000000,DA00110043,710
2022-11-24T15:03:07.0000000,DA00100001,1096
2022-11-24T15:01:50.0000000,DA00100001,1141
2022-11-24T15:00:40.0000000,DA00100001,1113
2022-11-24T15:09:28.0000000,DA00110045,837
2022-11-24T15:10:41.0000000,DA00110045,817
2022-11-24T15:13:01.0000000,DA00110045,788
2022-11-24T15:11:55.0000000,DA00110045,781
2022-11-24T15:08:21.0000000,DA00110045,855
2022-11-24T15:07:07.0000000,DA00110045,783
2022-11-24T15:06:00.0000000,DA00110045,829
2022-11-24T15:04:46.0000000,DA00110045,851
2022-11-24T15:02:25.0000000,DA00110045,817
2022-11-24T15:03:41.0000000,DA00110045,904
2022-11-24T15:01:12.0000000,DA00110045,817
2022-11-24T15:13:40.0000000,DA00110041,796
2022-11-24T15:00:05.0000000,DA00110045,847
2022-11-24T15:13:04.0000000,DA00110044,827
2022-11-24T15:11:47.0000000,DA00110044,825
2022-11-24T15:09:24.0000000,DA00110044,816
2022-11-24T15:10:41.0000000,DA00110044,811
2022-11-24T15:08:17.0000000,DA00110044,815
2022-11-24T15:07:02.0000000,DA00110044,794
