Timestamp;Entity Name;in;out
2021-08-04 10:00:00;dtu-lyn-boghandel;3;1
2021-08-04 10:00:00;dtu-lyn-indgang;9;8
2021-08-04 10:30:00;dtu-lyn-boghandel;1;2
2021-08-04 10:30:00;dtu-lyn-indgang;11;8
2021-08-04 11:00:00;dtu-lyn-boghandel;1;1
2021-08-04 11:00:00;dtu-lyn-indgang;14;8
2021-08-04 11:30:00;dtu-lyn-boghandel;4;3
2021-08-04 11:30:00;dtu-lyn-indgang;22;14
2021-08-04 12:00:00;dtu-lyn-boghandel;0;1
2021-08-04 12:00:00;dtu-lyn-indgang;22;20
2021-08-04 12:30:00;dtu-lyn-boghandel;6;8
2021-08-04 12:30:00;dtu-lyn-indgang;40;31
2021-08-04 13:00:00;dtu-lyn-boghandel;4;0
2021-08-04 13:00:00;dtu-lyn-indgang;30;23
2021-08-04 13:30:00;dtu-lyn-boghandel;1;1
2021-08-04 13:30:00;dtu-lyn-indgang;20;4
2021-08-04 14:00:00;dtu-lyn-boghandel;1;1
2021-08-04 14:00:00;dtu-lyn-indgang;15;28
2021-08-04 14:30:00;dtu-lyn-boghandel;3;2
2021-08-04 14:30:00;dtu-lyn-indgang;26;15
2021-08-04 15:00:00;dtu-lyn-boghandel;4;1
2021-08-04 15:00:00;dtu-lyn-indgang;13;26
2021-08-04 15:30:00;dtu-lyn-boghandel;4;2
2021-08-04 15:30:00;dtu-lyn-indgang;24;15
2021-08-04 16:00:00;dtu-lyn-boghandel;0;0
2021-08-04 16:00:00;dtu-lyn-indgang;21;38
2021-08-04 16:30:00;dtu-lyn-boghandel;0;0
2021-08-04 16:30:00;dtu-lyn-indgang;17;23
2021-08-04 17:00:00;dtu-lyn-boghandel;0;0
2021-08-04 17:00:00;dtu-lyn-indgang;9;19
2021-08-04 17:30:00;dtu-lyn-boghandel;0;0
2021-08-04 17:30:00;dtu-lyn-indgang;6;21
2021-08-04 18:00:00;dtu-lyn-boghandel;0;0
2021-08-04 18:00:00;dtu-lyn-indgang;8;14
2021-08-04 18:30:00;dtu-lyn-boghandel;0;0
2021-08-04 18:30:00;dtu-lyn-indgang;6;25
2021-08-04 19:00:00;dtu-lyn-boghandel;0;0
2021-08-04 19:00:00;dtu-lyn-indgang;6;4
2021-08-04 19:30:00;dtu-lyn-boghandel;1;1
2021-08-04 19:30:00;dtu-lyn-indgang;1;8
2021-08-04 20:00:00;dtu-lyn-boghandel;0;0
2021-08-04 20:00:00;dtu-lyn-indgang;3;11
2021-08-04 20:30:00;dtu-lyn-boghandel;0;0
2021-08-04 20:30:00;dtu-lyn-indgang;3;6
2021-08-04 21:00:00;dtu-lyn-boghandel;0;0
2021-08-04 21:00:00;dtu-lyn-indgang;5;8
2021-08-04 21:30:00;dtu-lyn-boghandel;0;0
2021-08-04 21:30:00;dtu-lyn-indgang;1;4
2021-08-04 22:00:00;dtu-lyn-boghandel;0;0
2021-08-04 22:00:00;dtu-lyn-indgang;3;2
2021-08-04 22:30:00;dtu-lyn-boghandel;0;0
2021-08-04 22:30:00;dtu-lyn-indgang;0;1
2021-08-04 23:00:00;dtu-lyn-boghandel;0;0
2021-08-04 23:00:00;dtu-lyn-indgang;0;0
2021-08-04 23:30:00;dtu-lyn-boghandel;0;0
2021-08-04 23:30:00;dtu-lyn-indgang;1;1
